Correct label   | Predicted label | Confidence     
      34        |       34        |      59.22     %
      34        |       34        |      89.39     %
      34        |       34        |      97.12     %
      34        |       34        |      94.31     %
      34        |       34        |      98.59     %
       3        |        3        |      99.97     %
      35        |       35        |      72.27     %
      35        |       92        |      72.52     %
      35        |       92        |      91.75     %
      35        |       35        |      92.41     %
      35        |       35        |      95.32     %
      35        |       35        |      84.53     %
      35        |       35        |      91.17     %
      35        |       35        |      93.49     %
      35        |       35        |      83.80     %
      35        |       35        |      88.00     %
       3        |        3        |      99.39     %
      35        |       35        |      90.12     %
      35        |       35        |      87.22     %
      35        |       35        |      97.58     %
      35        |       35        |      91.99     %
      35        |       32        |      52.59     %
      35        |       92        |      97.01     %
      35        |       78        |      69.20     %
      35        |       35        |      81.80     %
      35        |       35        |      93.75     %
      35        |       35        |      59.83     %
       3        |        3        |      96.72     %
      35        |       35        |      99.91     %
      35        |       35        |      99.66     %
      35        |       35        |      99.88     %
      35        |       35        |      99.93     %
      35        |       35        |      97.38     %
      35        |       35        |      99.90     %
      35        |       35        |      99.84     %
      35        |       92        |      97.79     %
      35        |       92        |      99.39     %
      35        |       92        |      98.23     %
       3        |        3        |      92.17     %
      35        |       92        |      99.06     %
      35        |       92        |      98.38     %
      35        |       92        |      98.83     %
      35        |       35        |      99.17     %
      35        |       35        |      96.52     %
      35        |       35        |      99.65     %
      35        |       35        |      99.42     %
      35        |       35        |      97.67     %
      35        |       35        |      99.67     %
      35        |       35        |      99.59     %
       3        |       71        |      61.76     %
      35        |       35        |      99.12     %
      35        |       35        |      98.02     %
      35        |       35        |      99.29     %
      35        |       35        |      88.22     %
      35        |       35        |      75.16     %
      36        |       36        |      99.26     %
      36        |       36        |      98.79     %
      36        |       36        |      98.93     %
      36        |       36        |      98.80     %
      36        |       36        |      67.69     %
       3        |        3        |      92.59     %
      36        |       37        |      72.45     %
      36        |       37        |      56.83     %
      36        |       37        |      37.01     %
      36        |       36        |      93.41     %
      36        |       36        |      94.56     %
      36        |       36        |      93.57     %
      36        |       36        |      91.38     %
      36        |       16        |      66.75     %
      36        |       36        |      49.99     %
      36        |       16        |      58.67     %
       3        |       24        |      58.56     %
      36        |       16        |      94.51     %
      36        |       36        |      99.46     %
      36        |       36        |      99.16     %
      36        |       36        |      98.76     %
      36        |       36        |      99.40     %
      36        |       36        |      98.79     %
      36        |       36        |      98.65     %
      36        |       36        |      98.67     %
      36        |       36        |      98.96     %
      36        |       37        |      62.07     %
       3        |        3        |      76.60     %
       0        |        1        |      94.21     %
      36        |       36        |      66.58     %
      36        |       36        |      74.70     %
      36        |       24        |      51.41     %
      37        |       54        |      66.97     %
      37        |       37        |      73.06     %
      37        |       54        |      68.13     %
      37        |       36        |      67.95     %
      37        |       98        |      17.26     %
      37        |       61        |      26.13     %
      37        |       56        |      20.17     %
       3        |        3        |      81.93     %
      37        |       69        |      41.64     %
      37        |       37        |      49.05     %
      37        |       37        |      52.98     %
      37        |       71        |      70.15     %
      37        |       73        |      79.88     %
      37        |       32        |      59.98     %
      37        |       32        |      86.42     %
      37        |       32        |      73.91     %
      37        |       32        |      59.50     %
      37        |       32        |      69.29     %
       3        |        3        |      84.71     %
      37        |       14        |      53.69     %
      37        |       36        |      58.71     %
      37        |       21        |      62.36     %
      37        |       37        |      48.59     %
      37        |       21        |      43.53     %
      37        |       37        |      55.84     %
      37        |       22        |      42.35     %
      37        |       37        |      67.75     %
      37        |       54        |      76.75     %
      37        |       54        |      71.58     %
       3        |        3        |      98.20     %
      37        |       54        |      87.95     %
      37        |       37        |      87.83     %
      37        |       37        |      64.15     %
      37        |       37        |      77.42     %
      37        |       37        |      80.56     %
      37        |       37        |      70.26     %
      37        |       16        |      83.62     %
      38        |       38        |      94.61     %
      38        |       38        |      96.66     %
      38        |       38        |      96.90     %
       3        |        3        |      98.90     %
      38        |       38        |      95.07     %
      38        |       38        |      96.39     %
      38        |       12        |      90.47     %
      38        |       12        |      54.11     %
      38        |       12        |      66.30     %
      38        |       12        |      67.56     %
      38        |       12        |      76.71     %
      38        |       12        |      78.43     %
      38        |       12        |      72.22     %
      38        |       38        |      89.21     %
       3        |        3        |      95.85     %
      38        |       38        |      89.58     %
      38        |       38        |      98.20     %
      38        |       38        |      97.24     %
      38        |       38        |      87.65     %
      38        |       38        |      95.20     %
      38        |       38        |      85.32     %
      38        |       38        |      99.88     %
      38        |       38        |      99.84     %
      38        |       38        |      99.36     %
      38        |       38        |      98.65     %
       3        |        3        |      96.66     %
      38        |       38        |      99.08     %
      38        |       38        |      99.72     %
      38        |       38        |      99.31     %
      38        |       38        |      97.04     %
      38        |       38        |      97.20     %
      38        |       38        |      89.68     %
      38        |       54        |      84.25     %
      38        |       54        |      69.14     %
      38        |       38        |      53.63     %
      38        |       38        |      92.33     %
       3        |        3        |      95.92     %
      38        |       38        |      91.62     %
      38        |       38        |      87.53     %
      38        |       38        |      83.98     %
      38        |       33        |      65.71     %
      38        |       33        |      74.21     %
      38        |       33        |      88.89     %
      38        |       33        |      96.12     %
      38        |       33        |      93.65     %
      39        |        7        |      48.07     %
      39        |       96        |      46.78     %
       3        |        3        |      84.03     %
      39        |        7        |      70.67     %
      39        |        7        |      73.32     %
      39        |       56        |      53.75     %
      39        |       50        |      76.50     %
      39        |       78        |      63.17     %
      39        |       44        |      83.76     %
      39        |       44        |      84.73     %
      39        |       44        |      75.07     %
      39        |       44        |      82.65     %
      39        |       44        |      67.17     %
       3        |        3        |      95.77     %
      39        |       44        |      76.91     %
      39        |       44        |      62.85     %
      39        |       67        |      73.02     %
      39        |       44        |      90.88     %
      39        |       78        |      59.54     %
      39        |       50        |      70.18     %
      39        |       56        |      51.12     %
      39        |       50        |      83.83     %
      39        |       50        |      82.18     %
      39        |       50        |      75.32     %
       3        |        3        |      88.37     %
       0        |        1        |      94.26     %
      39        |       39        |      96.50     %
      39        |       39        |      96.40     %
      39        |       67        |      79.17     %
      39        |       39        |      75.54     %
      39        |       67        |      90.02     %
      39        |       39        |      71.63     %
      39        |       44        |      93.56     %
      39        |       44        |      72.83     %
      39        |       67        |      65.93     %
      39        |       39        |      87.77     %
       3        |        3        |      85.33     %
      39        |       39        |      90.67     %
      39        |       39        |      84.86     %
      39        |       39        |      79.62     %
      39        |       39        |      93.07     %
      39        |       39        |      90.68     %
      40        |       40        |      98.42     %
      40        |       40        |      99.93     %
      40        |       40        |      99.88     %
      40        |       40        |      99.72     %
      40        |       40        |      96.54     %
       3        |        3        |      94.69     %
      40        |       40        |      97.39     %
      40        |       40        |      93.92     %
      40        |       40        |      70.49     %
      40        |       40        |      99.89     %
      40        |       40        |      99.92     %
      40        |       40        |      99.97     %
      40        |       40        |      99.31     %
      40        |       40        |      99.98     %
      40        |       40        |      94.55     %
      40        |       40        |      82.98     %
       4        |        4        |      65.18     %
      40        |       40        |      91.79     %
      40        |       40        |      86.16     %
      40        |       40        |      83.60     %
      40        |       40        |      86.02     %
      40        |       40        |      99.93     %
      40        |       40        |      99.62     %
      40        |       40        |      98.83     %
      40        |       40        |      99.56     %
      40        |       40        |      95.89     %
      40        |       40        |      98.53     %
       4        |       56        |      60.15     %
      40        |       40        |      59.02     %
      40        |       40        |      78.06     %
      40        |       40        |      93.80     %
      40        |       40        |      82.71     %
      40        |       40        |      98.21     %
      40        |       40        |      88.28     %
      40        |       40        |      99.60     %
      40        |       40        |      99.35     %
      40        |       40        |      88.60     %
      40        |       40        |      98.72     %
       4        |        4        |      56.01     %
      41        |       41        |      91.83     %
      41        |       41        |      79.21     %
      41        |       41        |      98.99     %
      41        |       41        |      97.99     %
      41        |       41        |      99.30     %
      41        |       41        |      87.48     %
      41        |       41        |      93.90     %
      41        |       41        |      99.88     %
      41        |       41        |      99.83     %
      41        |       41        |      99.85     %
       4        |        4        |      96.99     %
      41        |       41        |      99.88     %
      41        |       41        |      99.87     %
      41        |       41        |      99.85     %
      41        |       41        |      99.49     %
      41        |       41        |      99.93     %
      41        |       41        |      99.89     %
      41        |       41        |      99.96     %
      41        |       41        |      99.88     %
      41        |       41        |      99.51     %
      41        |       41        |      99.57     %
       4        |        4        |      95.48     %
      41        |       41        |      99.85     %
      41        |       41        |      95.63     %
      41        |       41        |      95.36     %
      41        |       41        |      66.97     %
      41        |       88        |      45.94     %
      41        |       41        |      98.41     %
      41        |       41        |      99.51     %
      41        |       41        |      99.67     %
      41        |       41        |      99.82     %
      41        |       41        |      99.70     %
       4        |        4        |      99.89     %
      41        |       41        |      99.83     %
      41        |       41        |      99.79     %
      41        |       41        |      99.71     %
      41        |       41        |      84.90     %
      41        |       41        |      84.91     %
      41        |       41        |      99.60     %
      41        |       41        |      98.29     %
      41        |       41        |      99.80     %
      41        |       41        |      99.39     %
      41        |       41        |      96.63     %
       4        |        4        |      91.10     %
      41        |       41        |      99.68     %
      41        |       41        |      99.29     %
      41        |       41        |      99.34     %
      41        |       41        |      99.80     %
      41        |       41        |      99.89     %
      41        |       41        |      99.93     %
      41        |       41        |      99.79     %
      41        |       41        |      99.87     %
      41        |       41        |      99.79     %
      42        |       42        |      86.25     %
       4        |        4        |      96.52     %
       0        |        1        |      84.40     %
      42        |       42        |      49.24     %
      42        |       42        |      84.29     %
      42        |       42        |      79.78     %
      42        |       42        |      63.70     %
      42        |       42        |      65.51     %
      42        |       42        |      88.44     %
      42        |       42        |      99.55     %
      42        |       42        |      99.76     %
      42        |       42        |      99.47     %
      42        |       42        |      99.73     %
       4        |        4        |      97.25     %
      42        |       42        |      83.97     %
      42        |       42        |      66.18     %
      42        |       42        |      70.18     %
      42        |       42        |      60.91     %
      42        |       42        |      41.23     %
      42        |       57        |      52.68     %
      42        |       57        |      62.71     %
      42        |       42        |      53.65     %
      42        |       57        |      62.70     %
      42        |       42        |      62.44     %
       4        |        4        |      87.50     %
      42        |        7        |      42.87     %
      42        |       47        |      44.32     %
      42        |       42        |      36.65     %
      42        |       47        |      48.48     %
      42        |       42        |      78.23     %
      42        |       42        |      33.07     %
      42        |        5        |      41.17     %
      42        |       42        |      56.95     %
      42        |       42        |      99.95     %
      42        |       42        |      99.96     %
       4        |        4        |      99.83     %
      42        |       42        |      99.96     %
      42        |       42        |      99.78     %
      42        |       42        |      99.56     %
      43        |       43        |      99.69     %
      43        |       43        |      99.67     %
      43        |       43        |      99.86     %
      43        |       43        |      99.90     %
      43        |       43        |      99.84     %
      43        |       43        |      99.66     %
      43        |       43        |      99.90     %
       4        |        4        |      87.61     %
      43        |       43        |      99.21     %
      43        |       43        |      99.25     %
      43        |       43        |      99.62     %
      43        |       43        |      99.62     %
      43        |       43        |      95.53     %
      43        |       43        |      99.79     %
      43        |       43        |      99.20     %
      43        |       43        |      99.91     %
      43        |       43        |      99.92     %
      43        |       43        |      99.53     %
       4        |        4        |      92.90     %
      43        |       43        |      99.88     %
      43        |       43        |      99.89     %
      43        |       43        |      99.90     %
      43        |       43        |      89.28     %
      43        |       43        |      97.92     %
      43        |       43        |      85.57     %
      43        |       43        |      98.68     %
      43        |       82        |      55.91     %
      43        |       43        |      83.26     %
      43        |       43        |      96.77     %
       4        |        4        |      92.72     %
      43        |       43        |      99.90     %
      43        |       43        |      99.87     %
      43        |       43        |      99.92     %
      43        |       43        |      97.73     %
      43        |       43        |      99.95     %
      43        |       43        |      99.95     %
      43        |       43        |      99.80     %
      43        |       43        |      99.88     %
      43        |       43        |      99.73     %
      43        |       43        |      99.91     %
       4        |        4        |      91.93     %
      43        |       43        |      99.59     %
      43        |       43        |      99.23     %
      43        |       43        |      99.86     %
      43        |       43        |      99.96     %
      43        |       43        |      99.88     %
      43        |       43        |      98.77     %
      43        |       43        |      98.91     %
      43        |       43        |      99.06     %
      43        |       43        |      99.97     %
      44        |       50        |      74.63     %
       4        |        4        |      83.33     %
      44        |       50        |      78.16     %
      44        |       50        |      73.60     %
      44        |       50        |      74.20     %
      44        |       44        |      80.56     %
      44        |       44        |      65.84     %
      44        |       44        |      89.34     %
      44        |       44        |      73.31     %
      44        |       44        |      81.21     %
      44        |       44        |      85.21     %
      44        |       44        |      77.96     %
       4        |        4        |      95.26     %
      44        |       44        |      94.07     %
      44        |       44        |      54.55     %
      44        |       44        |      55.46     %
      44        |       44        |      44.49     %
      44        |       44        |      41.45     %
      44        |       44        |      78.20     %
      44        |       44        |      75.85     %
      44        |       44        |      84.32     %
      44        |       44        |      80.32     %
      44        |       44        |      83.93     %
       4        |        4        |      99.75     %
       0        |        0        |      90.65     %
      44        |       44        |      84.21     %
      44        |       44        |      77.22     %
      44        |       44        |      88.89     %
      44        |       44        |      85.05     %
      44        |       44        |      86.54     %
      44        |       50        |      78.91     %
      44        |       50        |      71.94     %
      44        |       50        |      77.50     %
      44        |       50        |      90.31     %
      44        |       50        |      84.95     %
       4        |        4        |      97.40     %
      45        |       83        |      53.80     %
      45        |       83        |      58.73     %
      45        |       83        |      68.06     %
      45        |       83        |      70.84     %
      45        |       45        |      93.43     %
      45        |       45        |      85.26     %
      45        |       45        |      96.55     %
      45        |       45        |      97.52     %
      45        |       45        |      99.08     %
      45        |       45        |      98.95     %
       4        |        4        |      97.61     %
      45        |       45        |      94.98     %
      45        |       45        |      96.32     %
      45        |       45        |      93.79     %
      45        |       45        |      97.00     %
      45        |       45        |      98.26     %
      45        |       45        |      98.82     %
      45        |       45        |      98.25     %
      45        |       45        |      89.81     %
      45        |       45        |      87.66     %
      45        |       45        |      91.04     %
       4        |        4        |      63.05     %
      45        |       45        |      85.83     %
      45        |       45        |      91.04     %
      45        |       45        |      96.37     %
      45        |       45        |      95.78     %
      45        |       45        |      96.84     %
      45        |       45        |      97.56     %
      45        |       45        |      95.41     %
      45        |       45        |      93.31     %
      45        |       45        |      92.75     %
      45        |       45        |      92.58     %
       4        |        4        |      47.30     %
      45        |       45        |      93.08     %
      45        |       45        |      92.73     %
      45        |       45        |      94.82     %
      45        |       21        |      91.94     %
      45        |       21        |      92.78     %
      45        |       21        |      89.29     %
      45        |       21        |      96.39     %
      45        |       21        |      92.02     %
      45        |       21        |      89.74     %
      45        |       21        |      90.71     %
       4        |        4        |      66.61     %
      46        |       46        |      71.34     %
      46        |       46        |      73.41     %
      46        |       46        |      84.37     %
      46        |       46        |      79.29     %
      46        |       46        |      74.64     %
      46        |       46        |      71.29     %
      46        |       46        |      75.50     %
      46        |       46        |      63.56     %
      46        |       46        |      63.60     %
      46        |       46        |      70.17     %
       4        |        4        |      74.24     %
      46        |       46        |      66.51     %
      46        |       46        |      58.72     %
      46        |       46        |      63.14     %
      46        |       46        |      58.78     %
      46        |       46        |      74.13     %
